word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Körpergeruch_noun	WordNetExpansion	s86852								CATEGORY|animal|people	
Teergeruch_noun	WordNetExpansion	s154612								CATEGORY|industry	
Wildgeruch_noun	WordNetExpansion	s154613								CATEGORY|animal|people	
Rauchgeruch_noun	WordNetExpansion	s145834								CATEGORY|tobacco|smoke	
Schwefelgeruch_noun	WordNetExpansion	s135676								CATEGORY|emissions_traffic|fuel|dust	
Mief_noun	WordNetExpansion	s14291									
Muffigkeit_noun	WordNetExpansion	s14291								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Muff_noun	WordNetExpansion	s14291								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Mundgeruch_noun	WordNetExpansion	s76612								CATEGORY|animal|people	
Brandgeruch_noun	WordNetExpansion	s139361									
Eigengeruch_noun	WordNetExpansion	s124376								CATEGORY|animal|people	
Alkoholgeruch_noun	WordNetExpansion	s139617								CATEGORY|cleaning|medicinal	
Uringeruch_noun	WordNetExpansion	s144939								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Fischgeruch_noun	WordNetExpansion	s148882								CATEGORY|animal|people	
Blume_noun	WordNetExpansion	s14293								CATEGORY|nature_flowers|plant|tree|soil	
Bukett_noun	WordNetExpansion	s14293								CATEGORY|nature_flowers|plant|tree|soil	
Bouquet_noun	WordNetExpansion	s14293								CATEGORY|nature_flowers|plant|tree|soil	
Essensgeruch_noun	WordNetExpansion	s147011								CATEGORY|food|beverage	
Fußgeruch_noun	WordNetExpansion	s145531								CATEGORY|animal|people	
Schimmelgeruch_noun	WordNetExpansion	s151554								CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Knoblauchgeruch_noun	WordNetExpansion	s146745								CATEGORY|food|beverage	
Knoblauchduft_noun	WordNetExpansion	s146745								CATEGORY|food|beverage	
Ledergeruch_noun	WordNetExpansion	s151652								CATEGORY|animal|people	
Schärfe_noun	WordNetExpansion	s109855									
Spürsinn_noun	WordNetExpansion	s110001									
Nase_noun	WordNetExpansion	s112846								CATEGORY|animal|people	
Kosmetikartikel_noun	WordNetExpansion	s11331								CATEGORY|synthetic	
Kosmetik_noun	WordNetExpansion	s11331								CATEGORY|synthetic	
Kosmetikprodukt_noun	WordNetExpansion	s11331								CATEGORY|synthetic	
Herrenduft_noun	WordNetExpansion	s140496								CATEGORY|synthetic	
Eau de Cologne_noun	WordNetExpansion	s11347								CATEGORY|synthetic	
Kölnisch Wasser_noun	WordNetExpansion	s11347								CATEGORY|synthetic	
Lavendelwasser_noun	WordNetExpansion	s87469								CATEGORY|synthetic	
Eau de Toilette_noun	WordNetExpansion	s11346								CATEGORY|synthetic	
Toilettenwasser_noun	WordNetExpansion	s11346								CATEGORY|synthetic	
Geruchsstoff_noun	WordNetExpansion	s47601									
Riechstoff_noun	WordNetExpansion	s47601									
Ambra_noun	WordNetExpansion	s73077								CATEGORY|nature_flowers|plant|tree|soil	
Blumenduft_noun	WordNetExpansion	s146330								CATEGORY|nature_flowers|plant|tree|soil	
Blumengeruch_noun	WordNetExpansion	s146330								CATEGORY|nature_flowers|plant|tree|soil	
Kaffeeduft_noun	WordNetExpansion	s142554								CATEGORY|food|beverage	
Rosenduft_noun	WordNetExpansion	s139916								CATEGORY|nature_flowers|plant|tree|soil	
Fliederduft_noun	WordNetExpansion	s141799								CATEGORY|nature_flowers|plant|tree|soil	
Tannenduft_noun	WordNetExpansion	s148970								CATEGORY|nature_flowers|plant|tree|soil	
Veilchenduft_noun	WordNetExpansion	s137179								CATEGORY|nature_flowers|plant|tree|soil	
Dufthauch_noun	WordNetExpansion	s158114									
Bratengeruch_noun	WordNetExpansion	s151556								CATEGORY|food|beverage	
Bratenduft_noun	WordNetExpansion	s151556								CATEGORY|food|beverage	
Duftwolke_noun	WordNetExpansion	s158095									
Duftnote_noun	WordNetExpansion	s103565									
Mandelduft_noun	WordNetExpansion	s157174								CATEGORY|food|beverage	
Lavendelduft_noun	WordNetExpansion	s143229								CATEGORY|nature_flowers|plant|tree|soil	
Glühweinduft_noun	WordNetExpansion	s155590								CATEGORY|food|beverage	
Blütenduft_noun	WordNetExpansion	s130342								CATEGORY|nature_flowers|plant|tree|soil	
Ruch_noun	WordNetExpansion	s110380									
Lieblingsduft_noun	WordNetExpansion	s139655									
absondern_verb	WordNetExpansion	s54399									
sekretieren_verb	WordNetExpansion	s54399									
wahrnehmen_verb	WordNetExpansion	s58414									
perzipieren_verb	WordNetExpansion	s58414									
wittern_verb	WordNetExpansion	s58566									
beriechen_verb	WordNetExpansion	s58568									
beschnuppern_verb	WordNetExpansion	s58568									
beschnüffeln_verb	WordNetExpansion	s58568									
erschnuppern_verb	WordNetExpansion	s83572									
erschnüffeln_verb	WordNetExpansion	s83341									
Hautpflege_noun	WordNetExpansion	s54645									
verbreiten_verb	WordNetExpansion	s82692									
abgeben_verb	WordNetExpansion	s82692									
ausgasen_verb	WordNetExpansion	s119817									
geruchsspezifisch_adj	WordNetExpansion	s3185									
Asphalt_noun	StartingCategories									CATEGORY|emissions_traffic|fuel|dust	
Automobil_noun	StartingCategories									CATEGORY|emissions_traffic|fuel|dust	
